Domain Category,Value Counts
NAICS CLASSIFICATION: (11242),2
"AREA HARVESTED, FRESH MARKET & PROCESSING: (100 TO 249 ACRES)",2
NAICS CLASSIFICATION: (111211),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (1122),2
NAICS CLASSIFICATION: (11233),2
NAICS CLASSIFICATION: (11113),2
NAICS CLASSIFICATION: (111422),2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
"SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED) AND SALES OF HORTICULTURE: (40,000 TO 49,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED)",2
"SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
ORGANIC STATUS: (NOP STANDARDS),2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
NAICS CLASSIFICATION: (11141),2
"SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
NAICS CLASSIFICATION: (1123),2
"SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
NAICS CLASSIFICATION: (112112),2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (PROPAGATIVE MATERIAL) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
NAICS CLASSIFICATION: (1119),2
"ORGANIC STATUS: (NOP STANDARDS) AND SALES: (LESS THAN 50,000 $)",2
"SALES OF HORTICULTURE: (20,000 TO 24,999 $)",2
"SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
NAICS CLASSIFICATION: (11241),2
"SALES OF HORTICULTURE: (40,000 TO 49,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
TYPE OF OPERATION: (NURSERY),2
NAICS CLASSIFICATION: (11115),2
AREA BEARING & NON-BEARING: (0.1 TO 4.9 ACRES),2
NAICS CLASSIFICATION: (1121),2
NAICS CLASSIFICATION: (111332),2
NAICS CLASSIFICATION: (11133),2
TYPE OF OPERATION: (OTHER HORTICULTURE),2
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 TO 749 ACRES)",2
NAICS CLASSIFICATION: (1111),2
NAICS CLASSIFICATION: (11211),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
NAICS CLASSIFICATION: (1112),2
NAICS CLASSIFICATION: (11111),2
TYPE OF OPERATION: (PROPAGATIVE MATERIAL),2
NAICS CLASSIFICATION: (11212),2
NAICS CLASSIFICATION: (111219),2
NAICS CLASSIFICATION: (11119),2
"SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11194),2
NAICS CLASSIFICATION: (111331),2
NAICS CLASSIFICATION: (1113),2
TYPE OF OPERATION: (SOD),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (20,000 TO 24,999 $)",2
"ORGANIC STATUS: (NOP STANDARDS) AND SALES: (50,000 OR MORE $)",2
NAICS CLASSIFICATION: (11112),2
"TYPE OF OPERATION: (BEDDING PLANTS, HERBACEOUS PERENNIAL, POTTED) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11292),2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS)",2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11239),2
AREA BEARING & NON-BEARING: (5.0 TO 24.9 ACRES),2
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11142),2
NAICS CLASSIFICATION: (11299),2
"TYPE OF OPERATION: (PROPAGATIVE MATERIAL) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
"TYPE OF OPERATION: (CUT CHRISTMAS TREES) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (1129),2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
NAICS CLASSIFICATION: (111),2
NAICS CLASSIFICATION: (11231),2
NAICS CLASSIFICATION: (1124),2
NAICS CLASSIFICATION: (111421),2
NAICS CLASSIFICATION: (111334),2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
NAICS CLASSIFICATION: (112111),2
"SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (11291),2
AREA BEARING & NON-BEARING: (25.0 TO 99.9 ACRES),2
NAICS CLASSIFICATION: (112),2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
NAICS CLASSIFICATION: (11114),2
NAICS CLASSIFICATION: (11199),2
NAICS CLASSIFICATION: (111339),1
NAICS CLASSIFICATION: (111333),1
AREA BEARING & NON-BEARING: (100 OR MORE ACRES),1
"SALES: (LESS THAN 50,000 $)",1
NAICS CLASSIFICATION: (11234),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 TO 999 ACRES)",1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (100 OR MORE ACRES)",1
"SALES: (250,000 OR MORE $)",1
AREA BEARING & NON-BEARING: (100 TO 249 ACRES),1
NAICS CLASSIFICATION: (1125),1
NAICS CLASSIFICATION: (11232),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (0.1 TO 14.9 ACRES)",1
AREA BEARING & NON-BEARING: (0.1 TO 14.9 ACRES),1
"SALES: (50,000 TO 249,999 $)",1
AREA IN PRODUCTION: (100 OR MORE ACRES),1
AREA BEARING & NON-BEARING: (15.0 TO 99.9 ACRES),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (15.0 TO 99.9 ACRES)",1
NAICS CLASSIFICATION: (11293),1
AREA IN PRODUCTION: (0.1 TO 14.9 ACRES),1
AREA IN PRODUCTION: (15.0 TO 99.9 ACRES),1
