Domain Category,Value Counts
"TYPE OF OPERATION: (FOOD CROPS, UNDER PROTECTION, EXCL MUSHROOMS) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (111211),2
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 OR MORE ACRES)",2
"SALES OF HORTICULTURE: (500,000 TO 999,999 $)",2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (10,000 TO 19,999 $)",2
NAICS CLASSIFICATION: (111),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (50,000 TO 99,999 $)",2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (1,000,000 TO 2,499,999 $)",2
TYPE OF OPERATION: (NURSERY),2
"TYPE OF OPERATION: (NURSERY) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
NAICS CLASSIFICATION: (11232),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (100,000 TO 249,999 $)",2
"TYPE OF OPERATION: (BEDDING PLANTS, ANNUAL) AND SALES OF HORTICULTURE: (2,500,000 OR MORE $)",2
NAICS CLASSIFICATION: (11114),2
NAICS CLASSIFICATION: (111335),2
"TYPE OF OPERATION: (SOD) AND SALES OF HORTICULTURE: (250,000 TO 499,999 $)",2
"TYPE OF OPERATION: (OTHER HORTICULTURE) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11115),2
NAICS CLASSIFICATION: (11293),2
"TYPE OF OPERATION: (CUT CULTIVATED GREENS) AND SALES OF HORTICULTURE: (25,000 TO 39,999 $)",2
NAICS CLASSIFICATION: (11142),2
AREA BEARING & NON-BEARING: (100 TO 249 ACRES),2
AREA IN PRODUCTION: (0.1 TO 14.9 ACRES),1
"SALES: (50,000 TO 249,999 $)",1
"SALES: (250,000 OR MORE $)",1
AREA HARVESTED: (1.0 TO 1.9 ACRES),1
NAICS CLASSIFICATION: (11191),1
AREA BEARING & NON-BEARING: (0.1 TO 14.9 ACRES),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (0.1 TO 14.9 ACRES)",1
AREA HARVESTED: (3.0 TO 4.9 ACRES),1
AREA IN PRODUCTION: (15.0 TO 99.9 ACRES),1
NAICS CLASSIFICATION: (111336),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (750 TO 999 ACRES)",1
AREA BEARING & NON-BEARING: (15.0 TO 99.9 ACRES),1
"AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)",1
AREA HARVESTED: (0.1 TO 0.9 ACRES),1
NAICS CLASSIFICATION: (1125),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 TO 749 ACRES)",1
"SALES: (LESS THAN 50,000 $)",1
NAICS CLASSIFICATION: (11234),1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (100 OR MORE ACRES)",1
"AREA HARVESTED, FRESH MARKET & PROCESSING: (500 TO 999 ACRES)",1
AREA BEARING & NON-BEARING: (500 TO 749 ACRES),1
AREA HARVESTED: (2.0 TO 2.9 ACRES),1
