Data Item,Value Counts
"WHEAT - YIELD, MEASURED IN BU / ACRE",50
"SOYBEANS, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",50
"WHEAT, WINTER, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",50
"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",50
"HAY, (EXCL ALFALFA) - ACRES HARVESTED",50
"SORGHUM, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",50
"HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",50
"POTATOES, FALL - ACRES PLANTED",50
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",50
"POTATOES, FALL - ACRES HARVESTED",50
"POTATOES, FALL - PRODUCTION, MEASURED IN CWT",50
"OATS - PRODUCTION, MEASURED IN $",50
"WHEAT, WINTER, IRRIGATED - ACRES PLANTED",50
"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",50
"SOYBEANS, IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",50
"CORN, GRAIN - PRODUCTION, MEASURED IN $",50
"HAY - PRODUCTION, MEASURED IN $",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - YIELD, MEASURED IN LB / ACRE",50
SUGARBEETS - ACRES PLANTED,50
"WHEAT, WINTER, IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"BEANS, DRY EDIBLE, GREAT NORTHERN - PRODUCTION, MEASURED IN CWT",50
"POTATOES, FALL - PRODUCTION, MEASURED IN $",50
"SORGHUM, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU",50
"SOYBEANS, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"SORGHUM, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"WHEAT, WINTER - PRODUCTION, MEASURED IN $",50
"POTATOES - YIELD, MEASURED IN CWT / ACRE",50
WHEAT - ACRES PLANTED,50
"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"SOYBEANS, NON-IRRIGATED - ACRES HARVESTED",50
"HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS",50
"SORGHUM, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN CWT",50
"CORN, GRAIN, IRRIGATED - PRODUCTION, MEASURED IN BU",50
OATS - ACRES PLANTED,50
"WHEAT - PRODUCTION, MEASURED IN $",50
"SOYBEANS, IRRIGATED - PRODUCTION, MEASURED IN BU",50
"SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",50
"POTATOES, FALL - YIELD, MEASURED IN CWT / ACRE",50
"HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",50
"WHEAT, WINTER - ACRES PLANTED",50
"HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED",50
"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
"SOYBEANS - PRODUCTION, MEASURED IN $",50
"HAY - YIELD, MEASURED IN TONS / ACRE",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN $",50
"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED",50
"CORN, GRAIN, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",50
"WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU",50
SOYBEANS - ACRES PLANTED,50
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50
"SORGHUM, GRAIN, NON-IRRIGATED - ACRES HARVESTED",50
"WHEAT, IRRIGATED - ACRES PLANTED",49
"WHEAT, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",49
"WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU",49
"WHEAT, NON-IRRIGATED - ACRES HARVESTED",49
"WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",49
"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE",49
"WHEAT, NON-IRRIGATED - ACRES PLANTED",49
BARLEY - ACRES HARVESTED,48
"BARLEY - PRODUCTION, MEASURED IN BU",48
"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",47
WHEAT - OPERATIONS WITH AREA HARVESTED,46
SOYBEANS - OPERATIONS WITH AREA HARVESTED,46
"BARLEY - PRODUCTION, MEASURED IN $",45
"CORN, SILAGE, NON-IRRIGATED - ACRES HARVESTED",45
"CORN, SILAGE, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",45
BARLEY - ACRES PLANTED,45
"BARLEY - YIELD, MEASURED IN BU / ACRE",45
"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",45
"CORN, SILAGE, IRRIGATED - PRODUCTION, MEASURED IN TONS",45
"CORN, SILAGE, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS",45
"HAY, WILD - ACRES HARVESTED",44
"HAY, WILD - PRODUCTION, MEASURED IN TONS",44
"RYE - PRODUCTION, MEASURED IN BU",43
RYE - ACRES HARVESTED,43
"POTATOES, SUMMER - YIELD, MEASURED IN CWT / ACRE",40
"RYE - YIELD, MEASURED IN BU / ACRE",40
"POTATOES, SUMMER - ACRES PLANTED",40
"POTATOES, SUMMER - PRODUCTION, MEASURED IN CWT",40
"POTATOES, SUMMER - PRODUCTION, MEASURED IN $",40
RYE - ACRES PLANTED,40
"POTATOES, SUMMER - ACRES HARVESTED",40
"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",39
"HAY, WILD - OPERATIONS WITH AREA HARVESTED",39
"SUNFLOWER - PRODUCTION, MEASURED IN LB",38
"SOYBEANS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",38
SUNFLOWER - ACRES HARVESTED,38
"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",38
"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",38
"SUNFLOWER, OIL TYPE - ACRES HARVESTED",37
"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - ACRES HARVESTED",37
"HAY, ALFALFA - OPERATIONS WITH AREA HARVESTED",37
"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED - PRODUCTION, MEASURED IN CWT",37
"BEANS, DRY EDIBLE, PINTO, IRRIGATED - ACRES PLANTED",37
"BEANS, DRY EDIBLE, PINTO, IRRIGATED - PRODUCTION, MEASURED IN CWT",37
"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN LB",37
"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - ACRES PLANTED",37
"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - YIELD, MEASURED IN LB / ACRE",37
"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - PRODUCTION, MEASURED IN CWT",37
"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED - ACRES PLANTED",37
"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - YIELD, MEASURED IN BU / ACRE",36
"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - ACRES HARVESTED",36
"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - PRODUCTION, MEASURED IN BU",36
"SOYBEANS, NON-IRRIGATED - ACRES PLANTED",36
"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - PRODUCTION, MEASURED IN BU",36
"HAY, ALFALFA, IRRIGATED - OPERATIONS WITH AREA HARVESTED",36
"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - ACRES PLANTED",36
"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - ACRES PLANTED",36
"WHEAT, NON-IRRIGATED, CONTINUOUS CROP - YIELD, MEASURED IN BU / ACRE",36
"HAY, WILD, IRRIGATED - ACRES HARVESTED",36
"HAY, WILD, IRRIGATED - OPERATIONS WITH AREA HARVESTED",36
"WHEAT, NON-IRRIGATED, CONTINUOUS CROP - ACRES PLANTED",36
"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - YIELD, MEASURED IN BU / ACRE",36
"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - OPERATIONS WITH AREA HARVESTED",36
"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP - PRODUCTION, MEASURED IN BU",36
"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - ACRES HARVESTED",36
"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP - ACRES PLANTED",36
"WHEAT, NON-IRRIGATED, CONTINUOUS CROP - PRODUCTION, MEASURED IN BU",36
"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP - YIELD, MEASURED IN BU / ACRE",36
"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP - ACRES HARVESTED",36
"SOYBEANS, IRRIGATED - ACRES PLANTED",36
"WHEAT, NON-IRRIGATED, CONTINUOUS CROP - ACRES HARVESTED",36
"SUGARBEETS - SUCROSE, MEASURED IN PCT",35
POTATOES - OPERATIONS WITH AREA HARVESTED,35
SUGARBEETS - OPERATIONS WITH AREA HARVESTED,34
HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,34
"SUGARBEETS - PRODUCTION, MEASURED IN $",32
"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",32
"OATS, IRRIGATED - ACRES HARVESTED",32
"SORGHUM, SILAGE, IRRIGATED - ACRES HARVESTED",31
HAY & HAYLAGE - ACRES HARVESTED,31
"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",31
"MILLET, PROSO - PRODUCTION, MEASURED IN BU",30
"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - PRODUCTION, MEASURED IN CWT",30
"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - ACRES HARVESTED",30
"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",30
"MILLET, PROSO - ACRES HARVESTED",30
"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS, IRRIGATED - ACRES HARVESTED",30
"SORGHUM, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",29
"SUGARBEETS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",28
OATS - OPERATIONS WITH AREA HARVESTED,28
"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",28
"SUGARBEETS, IRRIGATED - ACRES HARVESTED",28
"CORN, SILAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",27
"POPCORN, IRRIGATED, SHELLED - ACRES HARVESTED",27
"POPCORN, IRRIGATED, SHELLED - OPERATIONS WITH AREA HARVESTED",27
"POPCORN, SHELLED - OPERATIONS WITH AREA HARVESTED",27
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",27
"POPCORN, SHELLED - PRODUCTION, MEASURED IN LB",27
"POPCORN, SHELLED - ACRES HARVESTED",27
"WHEAT, WINTER, IRRIGATED - OPERATIONS WITH AREA HARVESTED",26
"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",26
"HAY, IRRIGATED - OPERATIONS WITH AREA HARVESTED",26
HAY - OPERATIONS WITH AREA HARVESTED,26
"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",26
"HAY, IRRIGATED - ACRES HARVESTED",26
"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",26
"SORGHUM, IRRIGATED - ACRES PLANTED",25
"SORGHUM, NON-IRRIGATED - ACRES PLANTED",25
"BEANS, DRY EDIBLE, NAVY - PRODUCTION, MEASURED IN CWT",25
"HAYLAGE - PRODUCTION, MEASURED IN TONS",24
HAYLAGE - ACRES HARVESTED,24
"HAY, SMALL GRAIN - ACRES HARVESTED",24
SUNFLOWER - OPERATIONS WITH AREA HARVESTED,24
"HAY, SMALL GRAIN - PRODUCTION, MEASURED IN TONS",24
"BEANS, DRY EDIBLE, GREAT NORTHERN - ACRES PLANTED",23
"BEANS, DRY EDIBLE, GREAT NORTHERN - YIELD, MEASURED IN LB / ACRE",23
"HAYLAGE, ALFALFA - ACRES HARVESTED",23
"BEANS, DRY EDIBLE, PINTO - ACRES HARVESTED",23
"WHEAT, WINTER, RED, HARD - PRODUCTION, MEASURED IN PCT BY TYPE",23
"BEANS, DRY EDIBLE, OTHER - ACRES PLANTED",23
"BEANS, DRY EDIBLE, OTHER - PRODUCTION, MEASURED IN CWT",23
"SOYBEANS - POD COUNT, MEASURED IN PODS / 18 SQ FT",23
"BEANS, DRY EDIBLE, PINTO - YIELD, MEASURED IN LB / ACRE",23
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION",23
"BEANS, DRY EDIBLE, OTHER - ACRES HARVESTED",23
"CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE",23
"BEANS, DRY EDIBLE, OTHER - YIELD, MEASURED IN LB / ACRE",23
"BEANS, DRY EDIBLE, GREAT NORTHERN - ACRES HARVESTED",23
"HAYLAGE, ALFALFA - PRODUCTION, MEASURED IN TONS",23
"BEANS, DRY EDIBLE, PINTO - ACRES PLANTED",23
"BEANS, DRY EDIBLE, NAVY - YIELD, MEASURED IN LB / ACRE",22
"BEANS, DRY EDIBLE, NAVY - ACRES PLANTED",21
"BEANS, DRY EDIBLE, NAVY - ACRES HARVESTED",21
"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN LB",21
"SUNFLOWER, NON-OIL TYPE - ACRES HARVESTED",21
"OATS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",21
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $",21
"HAY, ALFALFA - PRODUCTION, MEASURED IN $",21
"CORN, IRRIGATED - ACRES PLANTED",21
"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",20
"VEGETABLE TOTALS, IN THE OPEN, IRRIGATED - ACRES IN PRODUCTION",20
"VEGETABLE TOTALS, IN THE OPEN - ACRES IN PRODUCTION",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - PRODUCTION, MEASURED IN TONS",20
"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY - YIELD, MEASURED IN LB / ACRE",20
"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY - PRODUCTION, MEASURED IN CWT",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED",20
"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY - ACRES PLANTED",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - OPERATIONS WITH AREA HARVESTED",20
"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED - YIELD, MEASURED IN LB / ACRE",20
"BEANS, DRY EDIBLE, PINTO, IRRIGATED - ACRES HARVESTED",20
"VEGETABLE TOTALS, IN THE OPEN, IRRIGATED - OPERATIONS WITH AREA IN PRODUCTION",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED - OPERATIONS WITH AREA HARVESTED",20
"CORN, NON-IRRIGATED - ACRES PLANTED",20
"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED - ACRES HARVESTED",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED - ACRES HARVESTED",20
"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY - ACRES HARVESTED",20
"BEANS, DRY EDIBLE, PINTO, IRRIGATED - YIELD, MEASURED IN LB / ACRE",20
"MILLET, PROSO - OPERATIONS WITH AREA HARVESTED",19
"CORN, GRAIN, IRRIGATED - ACRES PLANTED, NET",19
"SUNFLOWER, OIL TYPE - ACRES PLANTED",19
"SUNFLOWER, NON-OIL TYPE - ACRES PLANTED",19
"HAYLAGE, IRRIGATED - ACRES HARVESTED",19
HAYLAGE - OPERATIONS WITH AREA HARVESTED,19
"HAYLAGE, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",19
"SUNFLOWER, NON-OIL TYPE - PRODUCTION, MEASURED IN $",19
"CORN, GRAIN - ACRES PLANTED, NET",19
"SUNFLOWER, OIL TYPE - YIELD, MEASURED IN LB / ACRE",19
"CORN, GRAIN, NON-IRRIGATED - ACRES PLANTED, NET",19
"SUNFLOWER, NON-OIL TYPE - YIELD, MEASURED IN LB / ACRE",19
"HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",19
"CORN, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",19
"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",19
"SUNFLOWER - YIELD, MEASURED IN LB / ACRE",19
"HAY, SMALL GRAIN - OPERATIONS WITH AREA HARVESTED",19
"SUNFLOWER, OIL TYPE - PRODUCTION, MEASURED IN $",19
"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",19
SUNFLOWER - ACRES PLANTED,19
"SUNFLOWER - PRODUCTION, MEASURED IN $",19
"HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",19
"HAY, SMALL GRAIN, IRRIGATED - ACRES HARVESTED",18
"HAYLAGE, ALFALFA, IRRIGATED - ACRES HARVESTED",18
"POTATOES, IRRIGATED - OPERATIONS WITH AREA HARVESTED",18
"HAYLAGE, ALFALFA, IRRIGATED - OPERATIONS WITH AREA HARVESTED",18
"SUNFLOWER, OIL TYPE - OPERATIONS WITH AREA HARVESTED",18
"HAYLAGE, ALFALFA - OPERATIONS WITH AREA HARVESTED",18
"HAY, SMALL GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",18
"POTATOES, IRRIGATED - ACRES HARVESTED",18
"HAYLAGE, (EXCL ALFALFA) - OPERATIONS WITH AREA HARVESTED",17
"MILLET, PROSO, IRRIGATED - ACRES HARVESTED",17
"SUNFLOWER, IRRIGATED - OPERATIONS WITH AREA HARVESTED",17
"BEANS, DRY EDIBLE, BLACK - ACRES HARVESTED",17
"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED - YIELD, MEASURED IN LB / NET PLANTED ACRE",17
"BEANS, DRY EDIBLE, BLACK - ACRES PLANTED",17
"SUNFLOWER, IRRIGATED - ACRES HARVESTED",17
"BEANS, DRY EDIBLE, PINTO, IRRIGATED - YIELD, MEASURED IN LB / NET PLANTED ACRE",17
"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",17
"MILLET, PROSO, IRRIGATED - OPERATIONS WITH AREA HARVESTED",17
"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",17
"HAYLAGE, (EXCL ALFALFA), IRRIGATED - ACRES HARVESTED",16
"SORGHUM, SILAGE, NON-IRRIGATED - ACRES HARVESTED",16
"SORGHUM, SILAGE, IRRIGATED - PRODUCTION, MEASURED IN TONS",16
"SORGHUM, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",16
"SORGHUM, SILAGE, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",16
"SORGHUM, SILAGE, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS",16
"BEANS, DRY EDIBLE, BLACK - PRODUCTION, MEASURED IN CWT",16
"HAYLAGE, (EXCL ALFALFA), IRRIGATED - OPERATIONS WITH AREA HARVESTED",16
"SUNFLOWER, OIL TYPE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",16
"BEANS, DRY EDIBLE, BLACK - YIELD, MEASURED IN LB / ACRE",16
"SUNFLOWER, OIL TYPE, IRRIGATED - ACRES HARVESTED",16
"SORGHUM, SILAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",15
CROP TOTALS - OPERATIONS WITH SALES,15
CUT CHRISTMAS TREES - OPERATIONS WITH AREA IN PRODUCTION,15
CUT CHRISTMAS TREES - ACRES IN PRODUCTION,15
"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",15
"CUT CHRISTMAS TREES - AREA HARVESTED, MEASURED IN TREES",14
CUT CHRISTMAS TREES - OPERATIONS WITH AREA HARVESTED,14
"WHEAT, WINTER, IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"RYE - PRODUCTION, MEASURED IN $",13
"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"HAY & HAYLAGE, ALFALFA - ACRES PLANTED",13
"FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $",13
"SORGHUM, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"SORGHUM, GRAIN - ACRES PLANTED, NET",13
"WHEAT, NON-IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"WHEAT, NON-IRRIGATED, CONTINUOUS CROP - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"WHEAT, WINTER, NON-IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"WHEAT, WINTER - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"SORGHUM, GRAIN, IRRIGATED - ACRES PLANTED, NET",13
"SORGHUM, GRAIN, NON-IRRIGATED - ACRES PLANTED, NET",13
"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"WHEAT - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"WHEAT, IRRIGATED - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"SORGHUM, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",13
"OATS - YIELD, MEASURED IN BU / NET PLANTED ACRE",12
"OATS - ACRES PLANTED, NET",12
"OATS, NON-IRRIGATED - ACRES HARVESTED",11
"MILLET, PROSO - PRODUCTION, MEASURED IN $",11
BARLEY - OPERATIONS WITH AREA HARVESTED,11
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING - OPERATIONS WITH AREA HARVESTED",11
"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",11
"FIELD CROPS, OTHER, INCL HAY - OPERATIONS WITH SALES",11
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING - ACRES HARVESTED",11
"OATS, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",11
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET - ACRES HARVESTED",11
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",11
GRAIN - OPERATIONS WITH SALES,11
"OATS, IRRIGATED - YIELD, MEASURED IN BU / ACRE",11
ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,11
"OATS, IRRIGATED - PRODUCTION, MEASURED IN BU",11
"MILLET, PROSO - ACRES PLANTED",11
"OATS, NON-IRRIGATED - PRODUCTION, MEASURED IN BU",11
"BEANS, DRY EDIBLE, RED, KIDNEY - PRODUCTION, MEASURED IN CWT",10
"GRAIN - SALES, MEASURED IN $",10
"FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",10
"POTATOES, FRESH MARKET - ACRES HARVESTED",9
"POTATOES, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",9
"BARLEY, IRRIGATED - ACRES HARVESTED",8
"POTATOES, PROCESSING - ACRES HARVESTED",8
"POTATOES, PROCESSING - OPERATIONS WITH AREA HARVESTED",8
"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",7
"BEANS, DRY EDIBLE, PINK - PRODUCTION, MEASURED IN CWT",7
"HORTICULTURE TOTALS, (EXCL CUT TREES & VEGETABLE SEEDS & TRANSPLANTS) - OPERATIONS WITH SALES",7
"HORTICULTURE TOTALS, (EXCL CUT TREES & VEGETABLE SEEDS & TRANSPLANTS) - SALES, MEASURED IN $",6
"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - SALES, MEASURED IN $",6
"CUT CHRISTMAS TREES, IRRIGATED - OPERATIONS WITH AREA IN PRODUCTION",6
"CUT CHRISTMAS TREES, IRRIGATED - ACRES IN PRODUCTION",6
FRUIT & TREE NUT TOTALS - OPERATIONS WITH SALES,6
CHICKPEAS - ACRES HARVESTED,5
