Data Item,Value Counts
"SOYBEANS, IRRIGATED - ACRES HARVESTED",39
"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",39
"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",37
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION",33
"VEGETABLE TOTALS, IN THE OPEN - ACRES IN PRODUCTION",30
"VEGETABLE TOTALS, IN THE OPEN, IRRIGATED - OPERATIONS WITH AREA IN PRODUCTION",30
"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",30
"VEGETABLE TOTALS, IN THE OPEN, IRRIGATED - ACRES IN PRODUCTION",30
"WHEAT, IRRIGATED - ACRES HARVESTED",30
"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",29
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING - OPERATIONS WITH AREA HARVESTED",29
"BEANS, SNAP, PROCESSING - ACRES HARVESTED",29
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING - ACRES HARVESTED",29
"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",28
HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,28
"HAY, ALFALFA - OPERATIONS WITH AREA HARVESTED",27
"POPCORN, SHELLED - ACRES HARVESTED",26
"POPCORN, SHELLED - PRODUCTION, MEASURED IN LB",26
OATS - OPERATIONS WITH AREA HARVESTED,26
"POPCORN, SHELLED - OPERATIONS WITH AREA HARVESTED",26
APPLES - ACRES BEARING & NON-BEARING,25
"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",25
HAY & HAYLAGE - ACRES HARVESTED,25
APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,25
SWEET CORN - OPERATIONS WITH AREA HARVESTED,24
"BARLEY - PRODUCTION, MEASURED IN BU",24
PEACHES - ACRES BEARING & NON-BEARING,24
BARLEY - ACRES HARVESTED,24
SWEET CORN - ACRES HARVESTED,24
PEACHES - OPERATIONS WITH AREA BEARING & NON-BEARING,24
"POPCORN, IRRIGATED, SHELLED - OPERATIONS WITH AREA HARVESTED",23
"WHEAT, WINTER, RED, HARD - PRODUCTION, MEASURED IN PCT BY TYPE",23
"WHEAT, WINTER, RED, SOFT - PRODUCTION, MEASURED IN PCT BY TYPE",23
"POPCORN, IRRIGATED, SHELLED - ACRES HARVESTED",23
"CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE",23
"HAYLAGE - PRODUCTION, MEASURED IN TONS",22
"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",22
HAYLAGE - ACRES HARVESTED,22
"SWEET CORN, PROCESSING - ACRES HARVESTED",22
"HAY, ALFALFA - PRODUCTION, MEASURED IN $",21
BARLEY - ACRES PLANTED,21
"BEANS, SNAP - ACRES HARVESTED",21
"BEANS, SNAP - OPERATIONS WITH AREA HARVESTED",21
"BARLEY - PRODUCTION, MEASURED IN $",21
"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $",21
"BARLEY - YIELD, MEASURED IN BU / ACRE",21
"SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED",20
"HAY, ALFALFA, IRRIGATED - ACRES HARVESTED",20
"HAYLAGE, ALFALFA - ACRES HARVESTED",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - PRODUCTION, MEASURED IN TONS",20
"SWEET CORN, FRESH MARKET - ACRES HARVESTED",20
"WHEAT, WINTER, IRRIGATED - OPERATIONS WITH AREA HARVESTED",20
"WHEAT, WINTER, IRRIGATED - ACRES HARVESTED",20
"SORGHUM, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",20
"HAYLAGE, ALFALFA - PRODUCTION, MEASURED IN TONS",20
"HAY, ALFALFA, IRRIGATED - OPERATIONS WITH AREA HARVESTED",20
"VEGETABLE TOTALS, INCL FRESH CUT HERBS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION",20
"VEGETABLE TOTALS, INCL FRESH CUT HERBS, UNDER PROTECTION - SQ FT IN PRODUCTION",20
"SOYBEANS - POD COUNT, MEASURED IN PODS / 18 SQ FT",20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - OPERATIONS WITH AREA HARVESTED",20
APPLES - ACRES BEARING,20
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED",20
HAY - OPERATIONS WITH AREA HARVESTED,19
PEACHES - ACRES BEARING,19
"CORN, SILAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",18
SOD - OPERATIONS WITH AREA HARVESTED,18
SOD - ACRES HARVESTED,18
"CORN, SILAGE, IRRIGATED - ACRES HARVESTED",18
"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",17
"HAY, WILD - ACRES HARVESTED",17
"HAY, WILD - OPERATIONS WITH AREA HARVESTED",17
APPLES - ACRES NON-BEARING,17
"BEANS, SNAP, PROCESSING - OPERATIONS WITH AREA HARVESTED",17
"HAYLAGE, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",17
APPLES - OPERATIONS WITH AREA BEARING,17
CUT CHRISTMAS TREES - OPERATIONS WITH AREA IN PRODUCTION,17
"HAY, WILD - PRODUCTION, MEASURED IN TONS",17
APPLES - OPERATIONS WITH AREA NON-BEARING,17
CUT CHRISTMAS TREES - ACRES IN PRODUCTION,17
HAYLAGE - OPERATIONS WITH AREA HARVESTED,17
"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",17
"HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",17
"HAY, SMALL GRAIN - ACRES HARVESTED",16
"CUT CHRISTMAS TREES - AREA HARVESTED, MEASURED IN TREES",16
PEACHES - OPERATIONS WITH AREA NON-BEARING,16
"SWEET CORN, PROCESSING - OPERATIONS WITH AREA HARVESTED",16
PEACHES - ACRES NON-BEARING,16
"HAY, SMALL GRAIN - OPERATIONS WITH AREA HARVESTED",16
CUCUMBERS - OPERATIONS WITH AREA HARVESTED,16
ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,16
"HAY, SMALL GRAIN - PRODUCTION, MEASURED IN TONS",16
CUT CHRISTMAS TREES - OPERATIONS WITH AREA HARVESTED,16
PEACHES - OPERATIONS WITH AREA BEARING,16
CUCUMBERS - ACRES HARVESTED,16
"HAYLAGE, (EXCL ALFALFA) - OPERATIONS WITH AREA HARVESTED",15
CROP TOTALS - OPERATIONS WITH SALES,15
"HAY, IRRIGATED - ACRES HARVESTED",15
"HAY, IRRIGATED - OPERATIONS WITH AREA HARVESTED",15
"HAYLAGE, ALFALFA - OPERATIONS WITH AREA HARVESTED",15
COTTON - ACRES HARVESTED,14
"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",14
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET - ACRES HARVESTED",14
"COTTON - PRODUCTION, MEASURED IN 480 LB BALES",14
"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",14
"COTTON - YIELD, MEASURED IN LB / ACRE",14
COTTON - ACRES PLANTED,14
"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",14
"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",14
"COTTON, UPLAND - ACRES HARVESTED",14
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",14
TOBACCO - OPERATIONS WITH AREA HARVESTED,14
"COTTON, UPLAND - ACRES PLANTED",14
POTATOES - OPERATIONS WITH AREA HARVESTED,13
"HAY & HAYLAGE, ALFALFA - ACRES PLANTED",13
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED - OPERATIONS WITH AREA HARVESTED",13
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED - ACRES HARVESTED",13
"FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $",13
PUMPKINS - ACRES HARVESTED,13
"RYE - PRODUCTION, MEASURED IN $",13
"BEANS, SNAP, PROCESSING - YIELD, MEASURED IN TONS / ACRE",12
"BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN TONS",12
BARLEY - OPERATIONS WITH AREA HARVESTED,12
"SWEET CORN, FRESH MARKET - ACRES PLANTED",12
"BEANS, SNAP, PROCESSING - ACRES PLANTED",12
"SWEET CORN, FRESH MARKET - PRODUCTION, MEASURED IN CWT",12
"COTTON, COTTONSEED - PRODUCTION, MEASURED IN TONS",12
"SWEET CORN, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",12
"SWEET CORN, FRESH MARKET - PRODUCTION, MEASURED IN $",12
"BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN $",12
"HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",12
TOBACCO - OPERATIONS WITH SALES,12
FRUIT & TREE NUT TOTALS - OPERATIONS WITH SALES,12
"SWEET CORN, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",12
"BEANS, SNAP, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",12
"HAYLAGE, IRRIGATED - ACRES HARVESTED",12
"CABBAGE, FRESH MARKET - PRODUCTION, MEASURED IN $",11
"CABBAGE, FRESH MARKET - ACRES HARVESTED",11
SUNFLOWER - OPERATIONS WITH AREA HARVESTED,11
"VEGETABLE TOTALS, INCL FRESH CUT HERBS, UNDER PROTECTION - SALES, MEASURED IN $",11
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS - OPERATIONS WITH SALES,11
"CABBAGE, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",11
"FRUIT & TREE NUT TOTALS - SALES, MEASURED IN $",11
GRAIN - OPERATIONS WITH SALES,11
"FIELD CROPS, OTHER, INCL HAY - OPERATIONS WITH SALES",11
"CABBAGE, FRESH MARKET - ACRES PLANTED",11
"CABBAGE, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",11
"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",11
"CABBAGE, FRESH MARKET - PRODUCTION, MEASURED IN CWT",11
"VEGETABLE TOTALS, INCL FRESH CUT HERBS, UNDER PROTECTION - OPERATIONS WITH SALES",11
"TOBACCO - SALES, MEASURED IN $",11
"OATS, IRRIGATED - ACRES HARVESTED",11
"OATS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",11
"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",11
"HORTICULTURE TOTALS, (EXCL CUT TREES & VEGETABLE SEEDS & TRANSPLANTS) - OPERATIONS WITH SALES",11
"PUMPKINS - PRICE RECEIVED, MEASURED IN $ / CWT",10
"HAY, WILD, IRRIGATED - OPERATIONS WITH AREA HARVESTED",10
"GRAIN - SALES, MEASURED IN $",10
"PUMPKINS - PRODUCTION, MEASURED IN $",10
"HORTICULTURE TOTALS, (EXCL CUT TREES & VEGETABLE SEEDS & TRANSPLANTS) - SALES, MEASURED IN $",10
PUMPKINS - ACRES PLANTED,10
"PUMPKINS - PRODUCTION, MEASURED IN CWT",10
"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - SALES, MEASURED IN $",10
"CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS - SALES, MEASURED IN $",10
"FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",10
"HAY, WILD, IRRIGATED - ACRES HARVESTED",10
"PUMPKINS - YIELD, MEASURED IN CWT / ACRE",10
"SOD - SALES, MEASURED IN $",9
"HAYLAGE, ALFALFA, IRRIGATED - ACRES HARVESTED",9
"HAYLAGE, ALFALFA, IRRIGATED - OPERATIONS WITH AREA HARVESTED",9
"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",8
"SUGARBEETS - PRODUCTION, MEASURED IN TONS",8
"SWEET CORN, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",8
SOD - OPERATIONS WITH SALES,8
SUGARBEETS - ACRES PLANTED,8
RICE - OPERATIONS WITH AREA HARVESTED,8
SUGARBEETS - ACRES HARVESTED,8
"VEGETABLE TOTALS, 10 MAJOR, VARIES BY SEASON, PROCESSING - ACRES HARVESTED",7
"CUCUMBERS, FRESH MARKET - ACRES HARVESTED",7
"VEGETABLE TOTALS, 10 MAJOR, VARIES BY SEASON, PROCESSING - PRODUCTION, MEASURED IN $",7
"VEGETABLE TOTALS, 10 MAJOR, VARIES BY SEASON, PROCESSING - ACRES PLANTED",7
"HAY, SMALL GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",7
"CUCUMBERS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",7
"HAY, SMALL GRAIN, IRRIGATED - ACRES HARVESTED",7
"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - ACRES PLANTED",7
"VEGETABLE TOTALS, 10 MAJOR, VARIES BY SEASON, PROCESSING - PRODUCTION, MEASURED IN TONS",7
"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - PRODUCTION, MEASURED IN $",7
"OATS - YIELD, MEASURED IN BU / NET PLANTED ACRE",7
"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - ACRES HARVESTED",7
"NON-CITRUS FRUIT & TREE NUTS TOTALS - PRODUCTION, MEASURED IN $",7
"CUCUMBERS, PROCESSING, PICKLES - OPERATIONS WITH AREA HARVESTED",7
"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - PRODUCTION, MEASURED IN CWT",7
"CUCUMBERS, PROCESSING, PICKLES - ACRES HARVESTED",7
"HAYLAGE, (EXCL ALFALFA), IRRIGATED - OPERATIONS WITH AREA HARVESTED",6
"BEANS, SNAP, FRESH MARKET - OPERATIONS WITH AREA HARVESTED",6
"SWEET CORN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",6
"SWEET CORN, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",6
"SWEET CORN, PROCESSING - PRODUCTION, MEASURED IN $",6
MUSHROOMS - OPERATIONS WITH AREA IN PRODUCTION,6
MUSHROOMS - SQ FT IN PRODUCTION,6
"BEANS, SNAP, FRESH MARKET - ACRES HARVESTED",6
"HAYLAGE, (EXCL ALFALFA), IRRIGATED - ACRES HARVESTED",6
"SWEET CORN, PROCESSING - PRODUCTION, MEASURED IN TONS",6
"SWEET CORN, PROCESSING - ACRES PLANTED",6
"HAY, SOYBEAN - ACRES HARVESTED",5
"HAY, LESPEDEZA - ACRES HARVESTED",5
"HAY, TIMOTHY & CLOVER & GRASSES - YIELD, MEASURED IN TONS / ACRE",5
"HAY, TIMOTHY & CLOVER & GRASSES - ACRES HARVESTED",5
"HAYLAGE - YIELD, MEASURED IN TONS / ACRE",5
"HAY, SOYBEAN - YIELD, MEASURED IN TONS / ACRE",5
ASPARAGUS - ACRES HARVESTED,5
"HAY, SOYBEAN - PRODUCTION, MEASURED IN TONS",5
"HAY & HAYLAGE, ALFALFA - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",5
"HAY & HAYLAGE, ALFALFA - ACRES HARVESTED",5
"HAY, (EXCL ALFALFA & WILD) - ACRES HARVESTED",5
"HAYLAGE, ALFALFA - YIELD, MEASURED IN TONS / ACRE",5
"HAY, LESPEDEZA - YIELD, MEASURED IN TONS / ACRE",5
"HAY, LESPEDEZA - PRODUCTION, MEASURED IN TONS",5
"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",5
"HAY, TIMOTHY & CLOVER & GRASSES - PRODUCTION, MEASURED IN TONS",5
"HAY, (EXCL ALFALFA & WILD) - YIELD, MEASURED IN TONS / ACRE",5
"HAY & HAYLAGE, ALFALFA - PRODUCTION, MEASURED IN TONS, DRY BASIS",5
"HAY, (EXCL ALFALFA & WILD) - PRODUCTION, MEASURED IN TONS",5
"CROP TOTALS, ORGANIC - OPERATIONS WITH SALES",4
"CROP TOTALS, ORGANIC - SALES, MEASURED IN $",4
"CUT CHRISTMAS TREES, IRRIGATED - ACRES IN PRODUCTION",4
"CUT CHRISTMAS TREES, IRRIGATED - OPERATIONS WITH AREA IN PRODUCTION",4
CARROTS - ACRES HARVESTED,3
PLUMS & PRUNES - ACRES BEARING & NON-BEARING,3
EGGPLANT - OPERATIONS WITH AREA HARVESTED,3
"CUT FLOWERS & CUT CULTIVATED GREENS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION",3
"BEDDING PLANT TOTALS, IN THE OPEN - ACRES IN PRODUCTION",3
ORCHARDS - ACRES BEARING & NON-BEARING,3
"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",3
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - PRODUCTION, MEASURED IN LB",3
"RYE, IRRIGATED - ACRES HARVESTED",3
"ONIONS, DRY, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"BEANS, SNAP, ORGANIC - PRODUCTION, MEASURED IN TONS",3
FLOWER SEEDS - OPERATIONS WITH AREA IN PRODUCTION,3
BUCKWHEAT - ACRES HARVESTED,3
"CARROTS, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"LETTUCE, ORGANIC - ACRES HARVESTED",3
"NURSERY TOTALS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION",3
"BERRY TOTALS, ORGANIC - SALES, MEASURED IN $",3
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION",3
"CABBAGE, ORGANIC - ACRES HARVESTED",3
APRICOTS - ACRES BEARING & NON-BEARING,3
"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",3
"SQUASH, ORGANIC - OPERATIONS WITH SALES",3
"FLORICULTURE TOTALS, ORGANIC - SALES, MEASURED IN $",3
"HERBS, FRESH CUT, ORGANIC - OPERATIONS WITH SALES",3
"FLOWERING PLANTS, POTTED, INDOOR USE, UNDER PROTECTION - SQ FT IN PRODUCTION",3
"ONIONS, DRY - OPERATIONS WITH AREA HARVESTED",3
"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
OKRA - ACRES HARVESTED,3
"FLORICULTURE TOTALS, UNDER PROTECTION - SQ FT IN PRODUCTION",3
"CARROTS, ORGANIC - OPERATIONS WITH SALES",3
"BEANS, SNAP, ORGANIC - SALES, MEASURED IN $",3
"FLORICULTURE TOTALS, ORGANIC, UNDER PROTECTION - SQ FT IN PRODUCTION",3
"PEARS, ORGANIC - OPERATIONS WITH SALES",3
"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",3
"HERBS, FRESH CUT, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"LEGUMES, CLOVER, RED, SEED - OPERATIONS WITH AREA HARVESTED",3
"VEGETABLES, OTHER, ORGANIC - SALES, MEASURED IN $",3
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - ACRES HARVESTED",3
"HERBS, FRESH CUT - ACRES HARVESTED",3
"FOOD CROP TOTALS, (EXCL MUSHROOMS), ORGANIC, UNDER PROTECTION - OPERATIONS WITH SALES",3
"CABBAGE, HEAD - OPERATIONS WITH AREA HARVESTED",3
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"GARLIC, ORGANIC - SALES, MEASURED IN $",3
"WALNUTS, ENGLISH - OPERATIONS WITH AREA BEARING & NON-BEARING",3
"GRAPES, ORGANIC - SALES, MEASURED IN $",3
"GARLIC, ORGANIC - OPERATIONS WITH SALES",3
NECTARINES - ACRES BEARING & NON-BEARING,3
"BERRY TOTALS, ORGANIC - ACRES HARVESTED",3
"MELONS, CANTALOUP, ORGANIC - OPERATIONS WITH SALES",3
"GREENS, MUSTARD - OPERATIONS WITH AREA HARVESTED",3
"PEPPERS, BELL, ORGANIC - PRODUCTION, MEASURED IN CWT",3
"BROCCOLI, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"HAY, ORGANIC - OPERATIONS WITH SALES",3
"SPINACH, ORGANIC - ACRES HARVESTED",3
"GARLIC, ORGANIC - ACRES HARVESTED",3
"PEACHES, ORGANIC - ACRES HARVESTED",3
"GRAPES, ORGANIC - OPERATIONS WITH SALES",3
"MELONS, CANTALOUP, ORGANIC - ACRES HARVESTED",3
PARSLEY - ACRES HARVESTED,3
"ONIONS, DRY, ORGANIC - PRODUCTION, MEASURED IN TONS",3
"FLORICULTURE TOTALS, ORGANIC - OPERATIONS WITH SALES",3
"LEGUMES, CLOVER, RED, SEED - PRODUCTION, MEASURED IN LB",3
"GREENS, COLLARD - OPERATIONS WITH AREA HARVESTED",3
"BUCKWHEAT - PRODUCTION, MEASURED IN BU",3
"GREENS, KALE - OPERATIONS WITH AREA HARVESTED",3
"SUNFLOWER, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"BEDDING PLANT TOTALS, IN THE OPEN - OPERATIONS WITH AREA IN PRODUCTION",3
"APPLES, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"FLORICULTURE TOTALS, ORGANIC, IN THE OPEN - ACRES IN PRODUCTION",3
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA HARVESTED",3
"VEGETABLE SEEDS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION",3
"APPLES - YIELD, MEASURED IN LB / ACRE",3
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - SALES, MEASURED IN $",3
"HERBS, FRESH CUT - OPERATIONS WITH AREA HARVESTED",3
"MELONS, CANTALOUP - ACRES HARVESTED",3
"BERRY TOTALS, ORGANIC - OPERATIONS WITH SALES",3
"CARROTS, ORGANIC - ACRES HARVESTED",3
"PEPPERS, BELL, ORGANIC - OPERATIONS WITH SALES",3
"SWEET CORN, ORGANIC - SALES, MEASURED IN $",3
"FRUIT TOTALS, (EXCL BERRIES), ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"FLORICULTURE TOTALS, UNDER PROTECTION - OPERATIONS WITH AREA IN PRODUCTION",3
"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",3
EGGPLANT - ACRES HARVESTED,3
"POPCORN, ORGANIC, SHELLED - PRODUCTION, MEASURED IN LB",3
PLUMS & PRUNES - OPERATIONS WITH AREA BEARING & NON-BEARING,3
"BEANS, SNAP, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"GREENS, TURNIP - ACRES HARVESTED",3
"CORN, GRAIN, ORGANIC - ACRES HARVESTED",3
"POPCORN, ORGANIC, SHELLED - OPERATIONS WITH AREA HARVESTED",3
"VEGETABLE TOTALS, ORGANIC, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",3
CARROTS - OPERATIONS WITH AREA HARVESTED,3
GINSENG - OPERATIONS WITH AREA HARVESTED,3
"GARLIC, ORGANIC - PRODUCTION, MEASURED IN CWT",3
"BLUEBERRIES, TAME - OPERATIONS WITH AREA HARVESTED",3
CAULIFLOWER - OPERATIONS WITH AREA HARVESTED,3
"HAY, ORGANIC - ACRES HARVESTED",3
"HAY, ORGANIC - OPERATIONS WITH AREA HARVESTED",3
"PEPPERS, BELL, ORGANIC - SALES, MEASURED IN $",3
"LETTUCE, ORGANIC - PRODUCTION, MEASURED IN CWT",3
"LEGUMES, CLOVER, RED, SEED - ACRES HARVESTED",3
STRAWBERRIES - ACRES HARVESTED,3
"FLOWERING PLANTS, POTTED, INDOOR USE, IN THE OPEN - ACRES IN PRODUCTION",3
"FLOWER SEEDS, IN THE OPEN - ACRES IN PRODUCTION",3
RHUBARB - ACRES HARVESTED,3
PERSIMMONS - OPERATIONS WITH AREA BEARING & NON-BEARING,3
RASPBERRIES - ACRES HARVESTED,3
