Program,Year,Period,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,700,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"400,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,000,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,584,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,700,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"5,610"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,600,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,460,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE",TOTAL,NOT SPECIFIED,"27,950"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",TOTAL,NOT SPECIFIED,"28,350"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,417,196,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"933,660,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"110,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"2,200,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20
SURVEY,2009,YEAR,STATE,INDIANA,0,CROP TOTALS,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"6,500,032,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CUCUMBERS,"CUCUMBERS, PROCESSING, PICKLES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,500"
SURVEY,2009,YEAR,STATE,INDIANA,0,CUCUMBERS,"CUCUMBERS, PROCESSING, PICKLES - ACRES PLANTED",TOTAL,NOT SPECIFIED,"1,500"
SURVEY,2009,YEAR,STATE,INDIANA,0,CUCUMBERS,"CUCUMBERS, PROCESSING, PICKLES - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,366
SURVEY,2009,YEAR,STATE,INDIANA,0,CUCUMBERS,"CUCUMBERS, PROCESSING, PICKLES - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,521,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,CUCUMBERS,"CUCUMBERS, PROCESSING, PICKLES - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"9,620"
SURVEY,2009,YEAR,STATE,INDIANA,0,CUCUMBERS,"CUCUMBERS, PROCESSING, PICKLES - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,6.41
SURVEY,2009,YEAR,STATE,INDIANA,0,FIELD CROP TOTALS,"FIELD CROP TOTALS, INCL POTATOES & OTHER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"6,386,231,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,085,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",TOTAL,NOT SPECIFIED,"12,155,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"620,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"213,120,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"1,720,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.77
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"320,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"57,600,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"640,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, ALFALFA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"300,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, ALFALFA - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"155,520,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"1,080,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.6
SURVEY,2009,YEAR,STATE,INDIANA,0,HAY & HAYLAGE,"HAY & HAYLAGE, ALFALFA - ACRES PLANTED",TOTAL,NOT SPECIFIED,"45,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, CANTALOUP, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,200"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, CANTALOUP, FRESH MARKET - ACRES PLANTED",TOTAL,NOT SPECIFIED,"2,400"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, CANTALOUP, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,15
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, CANTALOUP, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"6,930,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, CANTALOUP, FRESH MARKET - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"462,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, CANTALOUP, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,210
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, WATERMELON, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,400"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, WATERMELON, FRESH MARKET - ACRES PLANTED",TOTAL,NOT SPECIFIED,"7,700"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, WATERMELON, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,9
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, WATERMELON, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,643,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, WATERMELON, FRESH MARKET - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"2,627,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MELONS,"MELONS, WATERMELON, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,355
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, PEPPERMINT, OIL - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,146,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"432,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, PEPPERMINT, OIL - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,54
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, SPEARMINT, OIL - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,500"
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, SPEARMINT, OIL - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,445,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, SPEARMINT, OIL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"86,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,MINT,"MINT, SPEARMINT, OIL - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,57
SURVEY,2009,YEAR,STATE,INDIANA,0,OATS,OATS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,OATS,OATS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"15,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,170,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,OATS,"OATS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"345,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,69
SURVEY,2009,YEAR,STATE,INDIANA,0,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,440,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,450,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,SOYBEANS,"SOYBEANS - POD COUNT, MEASURED IN PODS / 18 SQ FT",TOTAL,NOT SPECIFIED,"1,594"
SURVEY,2009,YEAR,STATE,INDIANA,0,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,612,288,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"266,560,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,49
SURVEY,2009,YEAR,STATE,INDIANA,0,SWEET CORN,"SWEET CORN, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,100"
SURVEY,2009,YEAR,STATE,INDIANA,0,SWEET CORN,"SWEET CORN, FRESH MARKET - ACRES PLANTED",TOTAL,NOT SPECIFIED,"6,400"
SURVEY,2009,YEAR,STATE,INDIANA,0,SWEET CORN,"SWEET CORN, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,40
SURVEY,2009,YEAR,STATE,INDIANA,0,SWEET CORN,"SWEET CORN, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"16,840,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,SWEET CORN,"SWEET CORN, FRESH MARKET - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"421,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,SWEET CORN,"SWEET CORN, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,69
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,80
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,800
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, FRESH MARKET - ACRES PLANTED",TOTAL,NOT SPECIFIED,"1,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,600,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, FRESH MARKET - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"120,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,150
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,800"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - ACRES PLANTED",TOTAL,NOT SPECIFIED,"9,800"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"36,311,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"321,340"
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,32.79
SURVEY,2009,YEAR,STATE,INDIANA,0,TOMATOES,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,113
SURVEY,2009,YEAR,STATE,INDIANA,0,VEGETABLE TOTALS,"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"16,500"
SURVEY,2009,YEAR,STATE,INDIANA,0,VEGETABLE TOTALS,"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - ACRES PLANTED",TOTAL,NOT SPECIFIED,"17,500"
SURVEY,2009,YEAR,STATE,INDIANA,0,VEGETABLE TOTALS,"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"57,013,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,VEGETABLE TOTALS,"VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"3,630,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"450,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,WHEAT - ACRES PLANTED,TOTAL,NOT SPECIFIED,"470,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"128,741,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"30,150,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,67
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"450,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,"470,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"128,741,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"30,150,000"
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,67
SURVEY,2009,YEAR,STATE,INDIANA,0,WHEAT,"WHEAT, WINTER, RED, SOFT - PRODUCTION, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,100
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,"2,100"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"23,000,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"11,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,500,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"15,000,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,500,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"633,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,500,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,133,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"21,500,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,500"
SURVEY,2008,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - ACRES PLANTED",TOTAL,NOT SPECIFIED,"5,300"
SURVEY,2008,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,212
SURVEY,2008,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,959,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"13,980"
SURVEY,2008,YEAR,STATE,INDIANA,0,BEANS,"BEANS, SNAP, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.11
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",TOTAL,NOT SPECIFIED,660
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,800,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,400,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,200,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,424,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,600,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,824,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,800,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"5,760"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,700,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,460,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - EAR COUNT, MEASURED IN EARS / ACRE",TOTAL,NOT SPECIFIED,"27,700"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",TOTAL,NOT SPECIFIED,"28,350"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,581,760,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"873,600,000"
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2008,YEAR,STATE,INDIANA,0,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"110,000"
